"startTime","name","startX","startY","startDirection","endTime","endX","endY","endDirection","diffX","diffY","diffD","Radius1","Radius2","robotDist","leftMotorDist","rightMotorDist","leftMotorSpeed","rightMotorSpeed"
"0.18","test","1.0","3.6600000020116568","180.0","0.2","1.0","3.650000002235174","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.2","test","1.0","3.650000002235174","180.0","0.22","1.0","3.6400000024586916","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241293","0.4999999888241293"
"0.22","test","1.0","3.6400000024586916","180.0","0.24","1.0","3.630000002682209","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241293","0.4999999888241293"
"0.24","test","1.0","3.630000002682209","180.0","0.26","1.0","3.6200000029057264","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.26","test","1.0","3.6200000029057264","180.0","0.28","1.0","3.610000003129244","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.28","test","1.0","3.610000003129244","180.0","0.3","1.0","3.6000000033527613","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413005","0.49999998882413005"
"0.3","test","1.0","3.6000000033527613","180.0","0.32","1.0","3.5900000035762787","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.32","test","1.0","3.5900000035762787","180.0","0.34","1.0","3.580000003799796","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.34","test","1.0","3.580000003799796","180.0","0.36","1.0","3.5700000040233135","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413005","0.49999998882413005"
"0.36","test","1.0","3.5700000040233135","180.0","0.38","1.0","3.560000004246831","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.38","test","1.0","3.560000004246831","180.0","0.4","1.0","3.5500000044703484","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.4","test","1.0","3.5500000044703484","180.0","0.42","1.0","3.5400000046938658","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413005","0.49999998882413005"
"0.42","test","1.0","3.5400000046938658","180.0","0.44","1.0","3.530000004917383","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.44","test","1.0","3.530000004917383","180.0","0.46","1.0","3.5200000051409006","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.46","test","1.0","3.5200000051409006","180.0","0.48","1.0","3.510000005364418","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413005","0.49999998882413005"
"0.48","test","1.0","3.510000005364418","180.0","0.5","1.0","3.5000000055879354","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.5","test","1.0","3.5000000055879354","180.0","0.52","1.0","3.490000005811453","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.52","test","1.0","3.490000005811453","180.0","0.54","1.0","3.4800000060349703","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.54","test","1.0","3.4800000060349703","180.0","0.56","1.0","3.4700000062584877","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.56","test","1.0","3.4700000062584877","180.0","0.58","1.0","3.460000006482005","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413144","0.49999998882413144"
"0.58","test","1.0","3.460000006482005","180.0","0.6","1.0","3.4500000067055225","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.6","test","1.0","3.4500000067055225","180.0","0.62","1.0","3.44000000692904","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.62","test","1.0","3.44000000692904","180.0","0.64","1.0","3.4300000071525574","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
