"time","name","x","y","direction","nextX","nextY","nextDirection"
"1.12","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000055","1.6899996","180.168"
"1.14","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999762","1.6799996","180.0"
"1.16","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999762","1.6699996","180.0"
"1.18","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999762","1.6599996","180.112"
"1.2","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999566","1.6499996","180.0"
"1.22","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999566","1.6399996","180.112"
"1.24","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499937","1.6299996","180.196"
"1.26","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499903","1.6199996","180.112"
"1.28","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998834","1.6099997","179.888"
"1.3","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499903","1.5999997","180.0"
"1.32","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499903","1.5899997","180.0"
"1.34","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499903","1.5799997","180.0"
"1.36","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499903","1.5699997","180.196"
"1.38","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998689","1.5599997","180.14"
"1.4","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998446","1.5499997","180.0"
"1.42","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998446","1.5399997","180.112"
"1.44","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499825","1.5299997","180.0"
"1.46","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499825","1.5199997","180.0"
"1.48","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499825","1.5099998","180.196"
"1.5","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499791","1.4999998","180.196"
"1.52","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997568","1.4899998","180.0"
"1.54","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997568","1.4799998","180.0"
